#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
SIFR,FBgn0038880,FBgn0170005,FBgn0191473
SIP2,FBgn0061197,FBgn0175252,FBgn0197130
SKIP,FBgn0051163,FBgn0181262,FBgn0192386
SMC2,FBgn0027783,FBgn0175058,FBgn0196937
SMSr,FBgn0052380,FBgn0168694,FBgn0184783
SNCF,FBgn0036349,FBgn0180271,FBgn0186126
SNF1A,FBgn0023169,FBgn0174034,FBgn0188159
SP1173,FBgn0035710,FBgn0168760,FBgn0184838
SP2353,FBgn0034070,FBgn0176534,FBgn0182909
SP2637,FBgn0034371,FBgn0174776,FBgn0196672
SP555,FBgn0260470,FBgn0173426,FBgn0183760
SPE,FBgn0039102,FBgn0181369,FBgn0192480
SPR,FBgn0029768,FBgn0167351,FBgn0188321
SPoCk,FBgn0052451,FBgn0177340,FBgn0186723
SRPK,FBgn0026370,FBgn0176487,FBgn0182868
SRm160,FBgn0036340,FBgn0180251,FBgn0186108
ST6Gal,FBgn0035050,FBgn0085836,FBgn0085863
Sac1,FBgn0035195,FBgn0169313,FBgn0185307
Saf-B,FBgn0039229,FBgn0181483,FBgn0192585
Saf6,FBgn0031281,FBgn0171558,FBgn0194335
Sam-S,FBgn0005278,FBgn0171628,FBgn0194393
SamDC,FBgn0019932,FBgn0173088,FBgn0195056
Sap-r,FBgn0000416,FBgn0167063,FBgn0083425
Sap130,FBgn0262714,FBgn0180231,FBgn0186089
Sap30,FBgn0030788,FBgn0168397,FBgn0188868
Sap47,FBgn0013334,FBgn0179136,FBgn0190567
Sara,FBgn0026369,FBgn0170753,FBgn0183338
Sas,FBgn0038045,FBgn0178896,FBgn0190348
Sas-4,FBgn0011020,FBgn0165883,FBgn0191400
Sb,FBgn0003319,FBgn0179150,FBgn0190582
Sbf,FBgn0025802,FBgn0180925,FBgn0192100
Sc2,FBgn0035471,FBgn0169518,FBgn0185486
Sce,FBgn0003330,FBgn0171245,FBgn0189609
Scgalpha,FBgn0032013,FBgn0171783,FBgn0194897
Scgbeta,FBgn0038042,FBgn0180867,FBgn0192037
Scgdelta,FBgn0025391,FBgn0173858,FBgn0188033
Sclp,FBgn0030357,FBgn0168169,FBgn0187604
Scox,FBgn0262467,FBgn0172961,FBgn0194071
Scp2,FBgn0020907,FBgn0170339,FBgn0191753
Scr,FBgn0003339,FBgn0165471,FBgn0191014
Scsalpha,FBgn0004888,FBgn0169510,FBgn0185480
Sdc,FBgn0010415,FBgn0170636,FBgn0196510
SdhA,FBgn0261439,FBgn0174721,FBgn0196623
SdhB,FBgn0014028,FBgn0175780,FBgn0182196
SdhC,FBgn0037873,FBgn0180975,FBgn0192145
Sec22,FBgn0260855,FBgn0173995,FBgn0188136
Sec61beta,FBgn0010638,FBgn0176438,FBgn0182824
Seipin,FBgn0040336,FBgn0174134,FBgn0196055
SelD,FBgn0261270,FBgn0175101,FBgn0196974
SelR,FBgn0037847,FBgn0180997,FBgn0192161
Sema-1a,FBgn0011259,FBgn0171989,FBgn0194934
Sema-1b,FBgn0016059,FBgn0174846,FBgn0196747
Sema-2a,FBgn0011260,FBgn0176584,FBgn0182955
Sema-2b,FBgn0264273,FBgn0176574,FBgn0182944
Sema-5c,FBgn0250876,FBgn0179545,FBgn0184478
Send1,FBgn0031406,FBgn0173151,FBgn0194244
Send2,FBgn0264253,FBgn0169795,FBgn0193426
Sep2,FBgn0014029,FBgn0178045,FBgn0191532
Sep4,FBgn0259923,FBgn0168307,FBgn0187394
Sep5,FBgn0026361,FBgn0175621,FBgn0181980
Ser,FBgn0004197,FBgn0165078,FBgn0189632
Ser6,FBgn0011834,FBgn0177520,FBgn0187186
Ser8,FBgn0019928,FBgn0176349,FBgn0187079
Sesn,FBgn0034897,FBgn0170958,FBgn0183530
Set,FBgn0014879,FBgn0179075,FBgn0190509
Set2,FBgn0030486,FBgn0166577,FBgn0188697
Sfmbt,FBgn0032475,FBgn0180690,FBgn0193497
Sgf11,FBgn0036804,FBgn0169848,FBgn0184065
Sgf29,FBgn0050390,FBgn0170647,FBgn0196521
Sgs5,FBgn0003375,FBgn0170165,FBgn0190675
Sgt,FBgn0032640,FBgn0172152,FBgn0195467
Sgt1,FBgn0265101,FBgn0181208,FBgn0085141
Sh,FBgn0003380,FBgn0177713,FBgn0187317
Sh3beta,FBgn0035772,FBgn0168695,FBgn0184784
Shal,FBgn0005564,FBgn0172615,FBgn0189111
Shaw,FBgn0003386,FBgn0173338,FBgn0194638
Shc,FBgn0015296,FBgn0180008,FBgn0185868
Side,FBgn0032741,FBgn0172223,FBgn0195528
Sik2,FBgn0025625,FBgn0173827,FBgn0195946
Sin,FBgn0028402,FBgn0177207,FBgn0186599
Sin1,FBgn0033935,FBgn0176425,FBgn0182813
Sin3A,FBgn0022764,FBgn0175233,FBgn0197109
Sip1,FBgn0010620,FBgn0176647,FBgn0183012
Sir2,FBgn0024291,FBgn0165120,FBgn0195237
Sirt2,FBgn0038788,FBgn0177975,FBgn0190850
Sirt4,FBgn0029783,FBgn0167567,FBgn0187873
Sirt6,FBgn0037802,FBgn0181031,FBgn0192191
Sirt7,FBgn0039631,FBgn0167699,FBgn0192846
Six4,FBgn0027364,FBgn0177057,FBgn0183898
Sk1,FBgn0030300,FBgn0168011,FBgn0188598
Sk2,FBgn0052484,FBgn0169447,FBgn0185428
Ski6,FBgn0032487,FBgn0180613,FBgn0183712
Skp2,FBgn0037236,FBgn0165654,FBgn0191176
Slbp,FBgn0041186,FBgn0167194,FBgn0186746
Sld5,FBgn0039403,FBgn0165150,FBgn0189690
Slimp,FBgn0051133,FBgn0178377,FBgn0189851
Slip1,FBgn0024728,FBgn0181660,FBgn0193733
Sln,FBgn0033657,FBgn0176190,FBgn0182581
SmB,FBgn0262601,FBgn0166610,FBgn0193666
SmD1,FBgn0261933,FBgn0179498,FBgn0184431
SmD2,FBgn0261789,FBgn0165506,FBgn0191046
SmD3,FBgn0023167,FBgn0176219,FBgn0187068
SmG,FBgn0261791,FBgn0168313,FBgn0187399
Smc5,FBgn0052438,FBgn0177255,FBgn0186647
Smg5,FBgn0019890,FBgn0169963,FBgn0193444
Smg6,FBgn0039260,FBgn0172670,FBgn0189780
Smn,FBgn0036641,FBgn0179252,FBgn0184189
Smox,FBgn0025800,FBgn0166153,FBgn0195970
Smu1,FBgn0038666,FBgn0168579,FBgn0191620
Smvt,FBgn0039873,FBgn0171332,FBgn0187921
Smyd4,FBgn0036282,FBgn0179524,FBgn0184451
Snap,FBgn0250791,FBgn0177141,FBgn0186545
Snmp1,FBgn0260004,FBgn0170015,FBgn0191485
Snmp2,FBgn0035815,FBgn0179852,FBgn0184757
Snp,FBgn0259142,FBgn0170794,FBgn0183381
Snr1,FBgn0011715,FBgn0165756,FBgn0191277
Snx1,FBgn0031534,FBgn0166082,FBgn0194619
Snx16,FBgn0034265,FBgn0174842,FBgn0196742
Snx3,FBgn0038065,FBgn0178910,FBgn0190358
Snx6,FBgn0032005,FBgn0168058,FBgn0193833
SoYb,FBgn0051755,FBgn0166987,FBgn0193719
Sobp,FBgn0033654,FBgn0175291,FBgn0197163
Socs16D,FBgn0030869,FBgn0177722,FBgn0187325
Socs36E,FBgn0041184,FBgn0172011,FBgn0193262
Socs44A,FBgn0033266,FBgn0175891,FBgn0182315
Sod,FBgn0003462,FBgn0023627,FBgn0012854
Sod2,FBgn0010213,FBgn0174916,FBgn0196806
Sod3,FBgn0033631,FBgn0175314,FBgn0197181
Sodh-1,FBgn0024289,FBgn0165866,FBgn0191387
Sodh-2,FBgn0022359,FBgn0178776,FBgn0190244
Sos,FBgn0001965,FBgn0170174,FBgn0063991
Sox100B,FBgn0024288,FBgn0167852,FBgn0192984
Sox102F,FBgn0039938,FBgn0181621,FBgn0061239
Sox21a,FBgn0036411,FBgn0179420,FBgn0184357
Sox21b,FBgn0042630,FBgn0179419,FBgn0184356
SoxN,FBgn0029123,FBgn0172051,FBgn0194941
Sp212,FBgn0053329,FBgn0180726,FBgn0191912
Sp7,FBgn0037515,FBgn0165917,FBgn0191429
Spargel,FBgn0037248,FBgn0165648,FBgn0191170
Spase12,FBgn0040623,FBgn0167179,FBgn0189323
Spase22-23,FBgn0039172,FBgn0178367,FBgn0189840
Spat,FBgn0014031,FBgn0167430,FBgn0188388
SpdS,FBgn0037723,FBgn0178688,FBgn0190155
Spec2,FBgn0044823,FBgn0165557,FBgn0191091
Spindly,FBgn0031549,FBgn0173046,FBgn0194143
Sply,FBgn0010591,FBgn0174891,FBgn0196787
Spn,FBgn0010905,FBgn0169045,FBgn0185100
Spn100A,FBgn0039795,FBgn0167832,FBgn0192967
Spn27A,FBgn0028990,FBgn0168930,FBgn0193956
Spn28B,FBgn0083141,FBgn0171396,FBgn0194856
Spn28Da,FBgn0051902,FBgn0168193,FBgn0193860
Spn28Db,FBgn0053121,FBgn0168192,FBgn0193859
Spn28Dc,FBgn0031973,FBgn0168147,FBgn0193853
Spn31A,FBgn0032178,FBgn0172834,FBgn0195033
Spn42Da,FBgn0265137,FBgn0175722,FBgn0182065
Spn42Db,FBgn0033112,FBgn0175720,FBgn0182064
Spn42Dc,FBgn0033113,FBgn0175784,FBgn0182201
Spn42De,FBgn0033115,FBgn0175786,FBgn0182204
Spn43Aa,FBgn0024294,FBgn0175814,FBgn0182230
Spn43Ad,FBgn0044011,FBgn0175694,FBgn0182043
Spn47C,FBgn0033574,FBgn0175360,FBgn0197224
Spn53F,FBgn0034195,FBgn0174889,FBgn0045657
Spn55B,FBgn0028983,FBgn0176721,FBgn0183087
Spn75F,FBgn0052203,FBgn0169811,FBgn0250856
Spn77Ba,FBgn0262057,FBgn0177142,FBgn0186546
Spn85F,FBgn0037772,FBgn0178715,FBgn0190179
Spn88Ea,FBgn0028984,FBgn0180658,FBgn0191851
Spn88Eb,FBgn0038299,FBgn0180656,FBgn0191850
Spp,FBgn0031260,FBgn0171574,FBgn0194346
SppL,FBgn0039381,FBgn0165222,FBgn0192690
Spps,FBgn0039169,FBgn0178369,FBgn0085065
Spred,FBgn0020767,FBgn0175067,FBgn0196942
Sps2,FBgn0032224,FBgn0173109,FBgn0195058
Spt20,FBgn0036374,FBgn0180284,FBgn0186137
Spt3,FBgn0037981,FBgn0178860,FBgn0190314
Spt5,FBgn0040273,FBgn0176836,FBgn0183203
Sptr,FBgn0014032,FBgn0176204,FBgn0187748
Sr-CI,FBgn0014033,FBgn0173361,FBgn0044195
Sr-CII,FBgn0020377,FBgn0175257,FBgn0044194
Sr-CIII,FBgn0020376,FBgn0173360,FBgn0044193
Sr-CIV,FBgn0031547,FBgn0173047,FBgn0067527
Sra-1,FBgn0038320,FBgn0179086,FBgn0190521
Sras,FBgn0029121,FBgn0169627,FBgn0185585
Src42A,FBgn0264959,FBgn0171445,FBgn0182162
Src64B,FBgn0262733,FBgn0025053,FBgn0025035
Srp14,FBgn0038808,FBgn0177988,FBgn0190861
Srp19,FBgn0015298,FBgn0168700,FBgn0184789
Srp54,FBgn0024285,FBgn0172652,FBgn0195012
Srp54k,FBgn0010747,FBgn0169620,FBgn0185577
Srp68,FBgn0035947,FBgn0179969,FBgn0185832
Srp72,FBgn0038810,FBgn0177989,FBgn0190862
Srp9,FBgn0035827,FBgn0179867,FBgn0185737
SrpRbeta,FBgn0011509,FBgn0179783,FBgn0184691
Sry-alpha,FBgn0003510,FBgn0020088,FBgn0020081
Sry-beta,FBgn0003511,FBgn0167789,FBgn0062291
Sry-delta,FBgn0003512,FBgn0167790,FBgn0045545
SsRbeta,FBgn0011016,FBgn0180447,FBgn0186279
Ssadh,FBgn0039349,FBgn0165184,FBgn0189722
Ssb-c31a,FBgn0015299,FBgn0171767,FBgn0194892
Ssdp,FBgn0011481,FBgn0170241,FBgn0191675
Sse,FBgn0035627,FBgn0168834,FBgn0184902
Ssk,FBgn0036945,FBgn0177128,FBgn0186530
Ssl,FBgn0015300,FBgn0166767,FBgn0195843
Ssl1,FBgn0037202,FBgn0177347,FBgn0186730
Ssl2,FBgn0041780,FBgn0167207,FBgn0067531
Ssrp,FBgn0010278,FBgn0170430,FBgn0196325
Ssu72,FBgn0031054,FBgn0177849,FBgn0189008
St1,FBgn0034887,FBgn0170950,FBgn0183521
St2,FBgn0037665,FBgn0178652,FBgn0190120
St4,FBgn0033887,FBgn0175124,FBgn0197010
Stam,FBgn0027363,FBgn0173663,FBgn0195113
Start1,FBgn0035028,FBgn0166819,FBgn0183615
Stat92E,FBgn0016917,FBgn0178054,FBgn0191541
Su(H),FBgn0004837,FBgn0170810,FBgn0027417
Su(P),FBgn0004465,FBgn0179245,FBgn0028446
Su(Tpl),FBgn0014037,FBgn0170594,FBgn0084820
Su(dx),FBgn0003557,FBgn0171762,FBgn0194518
Su(fu),FBgn0005355,FBgn0180845,FBgn0192018
Su(var)2-10,FBgn0003612,FBgn0175977,FBgn0182399
Su(var)2-HP2,FBgn0026427,FBgn0175082,FBgn0196955
Su(var)205,FBgn0003607,FBgn0168069,FBgn0264923
Su(var)3-7,FBgn0003598,FBgn0178957,FBgn0190403
Su(var)3-9,FBgn0263755,FBgn0180648,FBgn0191841
Su(z)12,FBgn0020887,FBgn0170393,FBgn0183975
SuUR,FBgn0025355,FBgn0180105,FBgn0261711
Sucb,FBgn0029118,FBgn0168842,FBgn0184911
Sug,FBgn0036191,FBgn0180150,FBgn0186006
Sulf1,FBgn0040271,FBgn0170364,FBgn0191774
Sur-8,FBgn0038504,FBgn0170287,FBgn0191713
Surf1,FBgn0029117,FBgn0169730,FBgn0185677
Surf4,FBgn0019925,FBgn0180638,FBgn0191833
Surf6,FBgn0038746,FBgn0181736,FBgn0186761
Swim,FBgn0034709,FBgn0170574,FBgn0196453
Syb,FBgn0003660,FBgn0175423,FBgn0197274
Sym,FBgn0037371,FBgn0165540,FBgn0191079
Syn1,FBgn0037130,FBgn0176981,FBgn0183825
Syn2,FBgn0034135,FBgn0176586,FBgn0182957
Synd,FBgn0053094,FBgn0178006,FBgn0190879
Syp,FBgn0038826,FBgn0178003,FBgn0190876
Syt1,FBgn0004242,FBgn0173104,FBgn0194196
Syt12,FBgn0261085,FBgn0166567,FBgn0188688
Syt14,FBgn0261086,FBgn0165657,FBgn0191178
Syt4,FBgn0028400,FBgn0165892,FBgn0191409
Syt7,FBgn0039900,FBgn0181639,FBgn0195727
Sytalpha,FBgn0261089,FBgn0172160,FBgn0183772
Syx13,FBgn0036341,FBgn0180253,FBgn0186110
Syx16,FBgn0031106,FBgn0177546,FBgn0187204
Syx17,FBgn0035540,FBgn0169578,FBgn0185539
Syx18,FBgn0039212,FBgn0178342,FBgn0189816
Syx4,FBgn0024980,FBgn0173759,FBgn0063990
Syx5,FBgn0011708,FBgn0173572,FBgn0195409
Syx6,FBgn0037084,FBgn0176139,FBgn0182536
Syx8,FBgn0036643,FBgn0179251,FBgn0184188
T-cp1,FBgn0003676,FBgn0178509,FBgn0041667
T3dh,FBgn0017482,FBgn0170564,FBgn0196446
T48,FBgn0004359,FBgn0165301,FBgn0192750
TBCB,FBgn0034451,FBgn0174713,FBgn0186885
TBPH,FBgn0025790,FBgn0170420,FBgn0196318
TER94,FBgn0261014,FBgn0176054,FBgn0182471
TFAM,FBgn0038805,FBgn0178050,FBgn0191537
TH1,FBgn0010416,FBgn0168334,FBgn0187412
TM4SF,FBgn0020372,FBgn0170971,FBgn0183543
TM9SF4,FBgn0028541,FBgn0170077,FBgn0195285
TMS1,FBgn0028399,FBgn0180493,FBgn0186320
TRAM,FBgn0040340,FBgn0174003,FBgn0188139
TSG101,FBgn0036666,FBgn0180517,FBgn0186345
TTLL3B,FBgn0031853,FBgn0171128,FBgn0194812
Tace,FBgn0039734,FBgn0167786,FBgn0192926
Taf1,FBgn0010355,FBgn0165853,FBgn0191374
Taf10,FBgn0028398,FBgn0173272,FBgn0194570
Taf10b,FBgn0026324,FBgn0173107,FBgn0194199
Taf11,FBgn0011291,FBgn0167235,FBgn0193746
Taf12,FBgn0011290,FBgn0180938,FBgn0192112
Taf13,FBgn0032847,FBgn0171875,FBgn0183701
Taf2,FBgn0011836,FBgn0179694,FBgn0184609
Taf5,FBgn0010356,FBgn0175367,FBgn0197225
Taf6,FBgn0010417,FBgn0174503,FBgn0186488
Taf7,FBgn0024909,FBgn0165928,FBgn0191440
Tak1,FBgn0026323,FBgn0177536,FBgn0067510
Takl1,FBgn0046689,FBgn0178030,FBgn0191517
Takl2,FBgn0039015,FBgn0178485,FBgn0189955
Takr86C,FBgn0004841,FBgn0181011,FBgn0192175
Takr99D,FBgn0004622,FBgn0167137,FBgn0189069
Tal,FBgn0023477,FBgn0170981,FBgn0183550
Tango1,FBgn0031842,FBgn0171110,FBgn0194806
Tango10,FBgn0030330,FBgn0168036,FBgn0188616
Tango11,FBgn0050404,FBgn0170606,FBgn0196481
Tango14,FBgn0031312,FBgn0171712,FBgn0194465
Tango3,FBgn0033651,FBgn0175292,FBgn0197164
Tango4,FBgn0030365,FBgn0168182,FBgn0188632
Tango5,FBgn0052675,FBgn0166234,FBgn0195877
Tango6,FBgn0032728,FBgn0172212,FBgn0195520
Tango7,FBgn0033902,FBgn0175111,FBgn0196985
Tango8,FBgn0040737,FBgn0176742,FBgn0183111
Tango9,FBgn0260744,FBgn0180910,FBgn0192085
Tap42,FBgn0051852,FBgn0165380,FBgn0195262
Tapdelta,FBgn0021795,FBgn0175317,FBgn0197184
Task6,FBgn0038165,FBgn0180773,FBgn0191954
Task7,FBgn0037690,FBgn0181114,FBgn0192260
Taspase1,FBgn0263602,FBgn0179312,FBgn0184245
Taz,FBgn0026619,FBgn0175220,FBgn0197095
Tb,FBgn0243586,FBgn0165289,FBgn0192737
TbCMF46,FBgn0032163,FBgn0167077,FBgn0193731
Tbc1d15-17,FBgn0031233,FBgn0171637,FBgn0194401
Tbh,FBgn0010329,FBgn0166166,FBgn0068641
Tbp,FBgn0003687,FBgn0170612,FBgn0196487
Tbp-1,FBgn0028684,FBgn0181380,FBgn0192490
Tcp-1eta,FBgn0037632,FBgn0178631,FBgn0190098
Tctp,FBgn0037874,FBgn0178788,FBgn0190257
Tdc1,FBgn0259977,FBgn0175743,FBgn0182085
Tdc2,FBgn0050446,FBgn0175742,FBgn0182084
Teh1,FBgn0037766,FBgn0181056,FBgn0192215
Teh2,FBgn0035505,FBgn0168934,FBgn0185005
Teh3,FBgn0040697,FBgn0168933,FBgn0185003
Teh4,FBgn0035504,FBgn0168935,FBgn0185006
Tehao,FBgn0026760,FBgn0165478,FBgn0028770
Tektin-A,FBgn0028902,FBgn0173544,FBgn0195382
Tektin-C,FBgn0035638,FBgn0168826,FBgn0189146
Tengl1,FBgn0051682,FBgn0173155,FBgn0194248
Tengl2,FBgn0052463,FBgn0173156,FBgn0194249
Tengl3,FBgn0051679,FBgn0173157,FBgn0194250
Tengl4,FBgn0037857,FBgn0178778,FBgn0190247
Tep1,FBgn0041183,FBgn0172832,FBgn0067509
Tep2,FBgn0041182,FBgn0168378,FBgn0193881
Tep4,FBgn0041180,FBgn0172276,FBgn0264798
Tep5,FBgn0264845,FBgn0172277,FBgn0195574
Tes,FBgn0034223,FBgn0174866,FBgn0196769
TfIIA-L,FBgn0011289,FBgn0165331,FBgn0192769
TfIIA-S,FBgn0013347,FBgn0178399,FBgn0189874
TfIIA-S-2,FBgn0040338,FBgn0173906,FBgn0195966
TfIIB,FBgn0004915,FBgn0173312,FBgn0195079
TfIIEalpha,FBgn0015828,FBgn0180149,FBgn0186005
TfIIEbeta,FBgn0015829,FBgn0169569,FBgn0185530
TfIIFalpha,FBgn0010282,FBgn0165839,FBgn0191360
TfIIFbeta,FBgn0010421,FBgn0181006,FBgn0192171
TfIIS,FBgn0010422,FBgn0169467,FBgn0193387
Tfb1,FBgn0033929,FBgn0176414,FBgn0182802
Tfb4,FBgn0031309,FBgn0171538,FBgn0194319
Tg,FBgn0031975,FBgn0171578,FBgn0194876
Tgt,FBgn0031321,FBgn0171718,FBgn0194472
Thd1,FBgn0026869,FBgn0181631,FBgn0195719
Thiolase,FBgn0025352,FBgn0170418,FBgn0196316
Thor,FBgn0261560,FBgn0166088,FBgn0067508
Tie,FBgn0014073,FBgn0168894,FBgn0184968
Tif-IA,FBgn0032988,FBgn0173701,FBgn0193038
Tig,FBgn0011722,FBgn0172849,FBgn0193980
Tim10,FBgn0027360,FBgn0170610,FBgn0196485
Tim13,FBgn0036204,FBgn0179577,FBgn0184504
Tim17a1,FBgn0038018,FBgn0180878,FBgn0192047
Tim17a2,FBgn0037307,FBgn0165597,FBgn0191124
Tim17b1,FBgn0037310,FBgn0165746,FBgn0191264
Tim17b2,FBgn0020371,FBgn0171005,FBgn0195369
Tim9a,FBgn0030480,FBgn0166572,FBgn0188691
Tim9b,FBgn0027358,FBgn0177597,FBgn0195792
Timp,FBgn0025879,FBgn0181033,FBgn0192193
Tina-1,FBgn0035083,FBgn0166719,FBgn0196222
Tip60,FBgn0026080,FBgn0167638,FBgn0042858
Tk,FBgn0037976,FBgn0180904,FBgn0192079
Tl,FBgn0262473,FBgn0165296,FBgn0028769
Tm1,FBgn0003721,FBgn0179079,FBgn0190514
Tm2,FBgn0004117,FBgn0179080,FBgn0186829
Tmhs,FBgn0262624,FBgn0169380,FBgn0185364
Tob,FBgn0028397,FBgn0167911,FBgn0187423
Toll-4,FBgn0032095,FBgn0172301,FBgn0194963
Toll-6,FBgn0036494,FBgn0180381,FBgn0186219
Toll-7,FBgn0034476,FBgn0176861,FBgn0084945
Toll-9,FBgn0036978,FBgn0177096,FBgn0183934
Tollo,FBgn0029114,FBgn0180374,FBgn0084138
Tom20,FBgn0036928,FBgn0174643,FBgn0186521
Tom40,FBgn0016041,FBgn0172444,FBgn0188440
Tom7,FBgn0033357,FBgn0175964,FBgn0182386
Tom70,FBgn0032397,FBgn0181282,FBgn0193552
Top2,FBgn0003732,FBgn0015665,FBgn0015670
Top3alpha,FBgn0040268,FBgn0172266,FBgn0195565
Top3beta,FBgn0026015,FBgn0167518,FBgn0187828
Topors,FBgn0034410,FBgn0176804,FBgn0183172
Torsin,FBgn0025615,FBgn0167611,FBgn0187909
TotA,FBgn0028396,FBgn0178010,FBgn0190882
TotB,FBgn0038838,FBgn0178013,FBgn0190885
TotC,FBgn0044812,FBgn0178012,FBgn0190884
TotF,FBgn0044811,FBgn0171894,FBgn0193151
TotX,FBgn0044810,FBgn0170040,FBgn0191505
TotZ,FBgn0044809,FBgn0178014,FBgn0190886
Tpc1,FBgn0037852,FBgn0180993,FBgn0192158
Tpl94D,FBgn0051281,FBgn0181327,FBgn0192445
TpnC25D,FBgn0031692,FBgn0173447,FBgn0194715
TpnC4,FBgn0033027,FBgn0171423,FBgn0182129
TpnC41C,FBgn0013348,FBgn0168485,FBgn0188268
TpnC47D,FBgn0010423,FBgn0175341,FBgn0067505
TpnC73F,FBgn0010424,FBgn0180543,FBgn0186369
TppII,FBgn0020370,FBgn0175194,FBgn0197070
Tpr2,FBgn0032586,FBgn0172093,FBgn0195416
Tps1,FBgn0027560,FBgn0173374,FBgn0194668
Traf4,FBgn0026319,FBgn0173373,FBgn0194665
Trap1,FBgn0026761,FBgn0175749,FBgn0182092
Trax,FBgn0038327,FBgn0179092,FBgn0190527
Trc8,FBgn0039668,FBgn0167177,FBgn0189301
Tre1,FBgn0046687,FBgn0167565,FBgn0187871
Treh,FBgn0003748,FBgn0170717,FBgn0183301
Trf,FBgn0010287,FBgn0171633,FBgn0194881
Trf4-2,FBgn0039251,FBgn0172680,FBgn0192600
Trh,FBgn0035187,FBgn0169160,FBgn0185205
Trip1,FBgn0015834,FBgn0172962,FBgn0194072
Trissin,FBgn0038343,FBgn0180623,FBgn0191819
Trl,FBgn0013263,FBgn0179396,FBgn0184331
Trn-SR,FBgn0031456,FBgn0173270,FBgn0194567
Trp1,FBgn0011584,FBgn0172769,FBgn0195026
TrpA1,FBgn0035934,FBgn0179772,FBgn0184682
Trs23,FBgn0260861,FBgn0172019,FBgn0194937
Trx-2,FBgn0040070,FBgn0172488,FBgn0194995
Trxr-2,FBgn0037170,FBgn0177323,FBgn0186706
Ts,FBgn0024920,FBgn0173090,FBgn0194184
Tsc1,FBgn0026317,FBgn0181413,FBgn0192521
Tsf1,FBgn0022355,FBgn0177765,FBgn0196171
Tsf2,FBgn0036299,FBgn0179505,FBgn0184434
Tsf3,FBgn0034094,FBgn0176553,FBgn0182929
Tsp,FBgn0031850,FBgn0168876,FBgn0193951
Tsp26A,FBgn0031760,FBgn0173495,FBgn0194762
Tsp29Fb,FBgn0032075,FBgn0172183,FBgn0194953
Tsp2A,FBgn0024361,FBgn0174029,FBgn0196036
Tsp33B,FBgn0032376,FBgn0165935,FBgn0193569
Tsp39D,FBgn0032943,FBgn0178277,FBgn0195666
Tsp3A,FBgn0040334,FBgn0173772,FBgn0195936
Tsp42A,FBgn0033042,FBgn0171437,FBgn0182158
Tsp42Ea,FBgn0029508,FBgn0175793,FBgn0182212
Tsp42Ec,FBgn0033124,FBgn0175795,FBgn0182214
Tsp42Ed,FBgn0029507,FBgn0175708,FBgn0182053
Tsp42Ee,FBgn0029506,FBgn0175796,FBgn0182215
Tsp42Ef,FBgn0033127,FBgn0175797,FBgn0182216
Tsp42Eg,FBgn0033128,FBgn0175798,FBgn0182217
Tsp42Eh,FBgn0033129,FBgn0175799,FBgn0182218
Tsp42Ei,FBgn0033130,FBgn0175800,FBgn0182219
Tsp42Ej,FBgn0033132,FBgn0175803,FBgn0182221
Tsp42Ek,FBgn0033133,FBgn0175804,FBgn0182222
Tsp42El,FBgn0033134,FBgn0175805,FBgn0182223
Tsp42Eo,FBgn0033136,FBgn0175808,FBgn0182225
Tsp42Ep,FBgn0033137,FBgn0175706,FBgn0182051
Tsp42Eq,FBgn0033138,FBgn0175704,FBgn0182049
Tsp42Er,FBgn0033139,FBgn0175809,FBgn0182226
Tsp47F,FBgn0033629,FBgn0175316,FBgn0197183
Tsp5D,FBgn0029837,FBgn0167535,FBgn0187846
Tsp66A,FBgn0035786,FBgn0169768,FBgn0185715
Tsp66E,FBgn0035936,FBgn0179961,FBgn0185825
Tsp74F,FBgn0036769,FBgn0179157,FBgn0184094
Tsp86D,FBgn0037848,FBgn0178774,FBgn0190242
Tsp96F,FBgn0027865,FBgn0165160,FBgn0189698
Tsp97E,FBgn0039465,FBgn0165105,FBgn0189651
Ttc19,FBgn0032744,FBgn0171950,FBgn0193206
Tudor-SN,FBgn0035121,FBgn0169213,FBgn0197001
Tusp,FBgn0039530,FBgn0171260,FBgn0192779
TwdlBeta,FBgn0033658,FBgn0175289,FBgn0197160
TwdlC,FBgn0039469,FBgn0165307,FBgn0192756
TwdlD,FBgn0039444,FBgn0165288,FBgn0192736
TwdlE,FBgn0031957,FBgn0168219,FBgn0193864
TwdlF,FBgn0037224,FBgn0165684,FBgn0191199
TwdlG,FBgn0037225,FBgn0165665,FBgn0191185
TwdlH,FBgn0051080,FBgn0165285,FBgn0192733
TwdlJ,FBgn0039440,FBgn0165282,FBgn0192731
TwdlK,FBgn0039439,FBgn0165126,FBgn0189669
TwdlM,FBgn0039434,FBgn0165281,FBgn0192730
TwdlN,FBgn0039441,FBgn0165283,FBgn0192732
TwdlO,FBgn0039438,FBgn0165127,FBgn0189670
TwdlP,FBgn0039435,FBgn0165130,FBgn0189673
TwdlQ,FBgn0039448,FBgn0165123,FBgn0189666
TwdlR,FBgn0051081,FBgn0165286,FBgn0192734
TwdlS,FBgn0039443,FBgn0165287,FBgn0192735
TwdlU,FBgn0037223,FBgn0165683,FBgn0191198
TwdlV,FBgn0037227,FBgn0165685,FBgn0191201
TwdlW,FBgn0038487,FBgn0170300,FBgn0191724
TwdlX,FBgn0052571,FBgn0168393,FBgn0188863
